# processors,average,error_bar,run1,run2,run3,avg_elapsed

 1,26.490377473,0.288294195,26.30529077,26.29462663,26.87121502,26.746666667 
 4,6.608726593,0.019111175,6.61557985,6.58618879,6.62441114,6.916666667
 8,3.39089177,0.07317644,3.43460212,3.29586013,3.44221301,3.746666667
12,2.27338510,0.08979392,2.39038488,2.21079704,2.21897338,2.676666667
16,1.70191966,0.037619615,1.67572031,1.75095954,1.67907913,2.15
20,1.364388493,0.010096945,1.35754424,1.37773813,1.35788311,1.873333333
24,1.16122861,0.020292835,1.14717103,1.18775670,1.14875810,1.733333333
28,1.045515697,0.00659427,1.05325281,1.04323001,1.04006427,1.746666667
32,0.958456623,0.00737055,0.95078845,0.95905187,0.96552955,1.696666667
36,0.874057713,0.02143346,0.86910160,0.89796923,0.85510231,1.736666667
40,0.815784243,0.012127225,0.82870265,0.81420188,0.80444820,1.786666667
44,0.780544273,0.02442343,0.76755778,0.76261409,0.81146095,1.9
48,0.753518077,0.02878449,0.71797352,0.76703821,0.77554250,1.99


